	sen	verb	verb_idx	cop	cop_idx	child	child_idx	child_features	child_upos	head	head_idx	head_features	head_upos	distance	attractors	metadata	swap_head	feature_vals	prefix	wrong_sen	congruent_attractors	incongruent_attractors	num_attractors	num_congruent_attractors	num_incongruent_attractors	has_attractors	only_has_congruent_attractors	only_has_incongruent_attractors	sample_weight	phenomenon	lang	grammatical_feature	ungrammatical_feature	wo	inflect_item	agreement_certainty	sen_prob	wrong_prob	sen_nll	wrong_nll	delta
0	Yes, lovely creature, is n't she?	is	5			she	7	{'Case': 'Nom', 'Gender': 'Fem', 'Number': 'Sing', 'Person': '3', 'PronType': 'Prs', 'lemma': 'she'}	PRON	is	5	{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'be', 'Gender': 'Fem'}	VERB	-2	[]	"{'sent_id': 'en_lines-ud-dev-doc6-3938', 'text': ""Yes, lovely creature, isn't she?"", 'treebank': 'UD_English-LinES/en_lines-ud-dev.conllu'}"	am	3 -> 1	Yes, lovely creature,	Yes, lovely creature, am n't she?	[]	[]	0	0	0	False	False	False	0.0107142857142857	SV-P	eng	3	1	VS	verb	+	[-12.038290977478027, -14.338086128234863, -7.5900163650512695, -2.437164306640625, -11.931877136230469, -13.108808517456055, -8.02663516998291, -10.497328758239746, -5.298469543457031, -12.838393211364746]	[-12.038290977478027, -14.338086128234863, -7.5900163650512695, -2.437164306640625, -11.931877136230469, -13.138509750366211, -9.611496925354004, -11.749822616577148, -5.942104816436768, -12.902164459228516]	98.10507202148438	101.67953491210938	3.574462890625
1	There is no easy answer to the painful issue of abortion.	is	1			answer	4	{'Number': 'Sing', 'lemma': 'answer'}	NOUN	is	1	{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'be'}	VERB	-3	[]	{'sent_id': 'en_lines-ud-test-doc5-4814', 'text': 'There is no easy answer to the painful issue of abortion.', 'treebank': 'UD_English-LinES/en_lines-ud-test.conllu'}	am	3 -> 1	There	There am no easy answer to the painful issue of abortion.	[]	[]	0	0	0	False	False	False	0.1071428571428571	SV-P	eng	3	1	VS	verb	+	[-1.9102287292480469, -0.8849220275878906, -5.629644393920898, -5.615865230560303, -2.5160937309265137, -2.2649974822998047, -8.410778045654297, -5.218871116638184, -6.797698020935059, -2.1521644592285156, -8.124689102172852, -3.529534339904785, -0.24223709106445312, -10.922401428222656]	[-8.026185989379883, -1.663292407989502, -6.217815399169922, -5.735962390899658, -2.042531967163086, -2.350402355194092, -8.546092987060547, -5.052505970001221, -6.994060516357422, -1.7747020721435547, -8.310516357421875, -3.718367576599121, -0.20604801177978516, -10.704217910766602]	64.22012329101562	71.34269714355469	7.1225738525390625
2	Right up to a week after my birth he continued to say, 'How is he?'	is	15			he	16	{'Case': 'Nom', 'Gender': 'Masc', 'Number': 'Sing', 'Person': '3', 'PronType': 'Prs', 'lemma': 'he'}	PRON	is	15	{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'be', 'Gender': 'Masc'}	AUX	-1	[]	"{'sent_id': 'en_lines-ud-train-doc8-2912', 'text': ""Right up to a week after my birth he continued to say, 'How is he?'"", 'treebank': 'UD_English-LinES/en_lines-ud-train.conllu'}"	am	3 -> 1	Right up to a week after my birth he continued to say, 'How	Right up to a week after my birth he continued to say, 'How am he?'	[]	[]	0	0	0	False	False	False	0.1071428571428571	SV-P	eng	3	1	VS	verb	+	[-4.319074630737305, -2.3139829635620117, -3.6326522827148438, -5.663121223449707, -4.044502258300781, -3.6741580963134766, -6.8547444343566895, -9.3447265625, -8.49091625213623, -0.28148365020751953, -1.4138317108154297, -5.769872665405273, -13.521744728088379, -8.56300163269043, -12.07187271118164, -4.444935321807861, -1.7944869995117188, -11.288716316223145, -7.538568496704102]	[-4.319074630737305, -2.3139829635620117, -3.6326522827148438, -5.663121223449707, -4.044502258300781, -3.6741580963134766, -6.8547444343566895, -9.3447265625, -8.49091625213623, -0.28148365020751953, -1.4138317108154297, -5.769872665405273, -13.521744728088379, -8.56300163269043, -12.07187271118164, -4.3868279457092285, -8.910332679748535, -10.754316329956055, -7.743444919586182]	115.02638244628906	121.75460815429688	6.7282257080078125
3	This is whale meat that I photographed in a grocery store in Tokyo - or is it?	is	15			it	16	{'Number': 'Sing', 'Person': '3', 'PronType': 'Prs', 'lemma': 'it'}	PRON	is	15	{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'be'}	VERB	-1	[]	{'sent_id': 'en_partut-ud-855', 'text': 'This is whale meat that I photographed in a grocery store in Tokyo - or is it?', 'treebank': 'UD_English-ParTUT/en_partut-ud-train.conllu'}	am	3 -> 1	This is whale meat that I photographed in a grocery store in Tokyo - or	This is whale meat that I photographed in a grocery store in Tokyo - or am it?	[]	[]	0	0	0	False	False	False	0.0357142857142857	SV-P	eng	3	1	VS	verb	+	[-1.1148490905761719, -8.754417419433594, -3.6978797912597656, -1.9702587127685547, -6.632772445678711, -4.246280193328857, -1.9909324645996094, -8.33060073852539, -0.45650196075439453, -0.04412841796875, -0.5346240997314453, -2.1791839599609375, -2.978835105895996, -5.274225234985352, -3.3649120330810547, -0.311614990234375, -0.3717327117919922, -0.22437477111816406, -2.9607362747192383, -4.623357772827148, -3.2502098083496094, -0.018833160400390625, -0.08094310760498047, -6.272458076477051, -8.28456974029541, -8.417855262756348, -3.9341354370117188, -13.537055969238281]	[-1.1148490905761719, -8.754417419433594, -3.6978797912597656, -1.9702587127685547, -6.632772445678711, -4.246280193328857, -1.9909324645996094, -8.33060073852539, -0.45650196075439453, -0.04412841796875, -0.5346240997314453, -2.1791839599609375, -2.978835105895996, -5.274225234985352, -3.3649120330810547, -0.311614990234375, -0.3717327117919922, -0.22437477111816406, -2.9607362747192383, -4.623357772827148, -3.2502098083496094, -0.018833160400390625, -0.08094310760498047, -6.272458076477051, -8.28456974029541, -7.747178554534912, -10.599794387817383, -13.918123245239258]	103.8582763671875	110.23432922363281	6.3760528564453125
4	Among them is the former cloister from the abbey church of St. Peter and Paul.	is	2			cloister	5	{'Number': 'Sing', 'lemma': 'cloister'}	NOUN	is	2	{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'be'}	VERB	-3	[]	{'newdoc id': 'w02004', 'sent_id': 'w02004008', 'text': 'Among them is the former cloister from the abbey church of St. Peter and Paul.', 'treebank': 'UD_English-PUD/en_pud-ud-test.conllu'}	am	3 -> 1	Among them	Among them am the former cloister from the abbey church of St. Peter and Paul.	[]	[]	0	0	0	False	False	False	0.1071428571428571	SV-P	eng	3	1	VS	verb	+	[-5.6417083740234375, -3.9341535568237305, -6.647685527801514, -3.1312427520751953, -5.981149196624756, -0.7186174392700195, -6.21807861328125, -6.687043190002441, -9.341817855834961, -6.2573370933532715, -0.5796737670898438, -7.657998085021973, -5.881716728210449, -3.216442108154297, -9.88357925415039, -2.833925247192383, -2.2167606353759766, -7.680431842803955, -2.392378807067871, -1.1589345932006836, -3.0777854919433594, -4.388272762298584, -3.9295263290405273, -2.657711982727051, -5.443265914916992]	[-5.6417083740234375, -3.9341535568237305, -9.15502643585205, -6.642870903015137, -6.320113182067871, -0.6911716461181641, -5.707433223724365, -6.05757999420166, -9.869396209716797, -6.162326812744141, -0.7313346862792969, -7.795107841491699, -5.849216461181641, -3.275345802307129, -10.145779609680176, -2.6240835189819336, -2.7288131713867188, -7.681705951690674, -2.470473289489746, -1.1660270690917969, -2.9400711059570312, -4.509540557861328, -3.752840995788574, -2.6648473739624023, -5.131584644317627]	117.55723571777344	123.64854431152344	6.09130859375
5	how much is a flight from washington to montreal	is	2			flight	4	{'Number': 'Sing', 'lemma': 'flight'}	NOUN	is	2	{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'be'}	AUX	-2	[]	{'sent_id': '2932.train', 'text': 'how much is a flight from washington to montreal', 'treebank': 'UD_English-Atis/en_atis-ud-train.conllu'}	'm	3 -> 1	how much	how much 'm a flight from washington to montreal	[]	[]	0	0	0	False	False	False	0.0107142857142857	SV-P	eng	3	1	VS	verb	+	[-6.367502212524414, -4.166073799133301, -3.1839065551757812, -8.740312576293945, -5.963929653167725, -11.214044570922852, -1.1803522109985352, -8.440675735473633, -1.8786773681640625, -8.857074737548828, -5.020570278167725, -4.435718536376953, -4.8802080154418945]	[-6.367502212524414, -11.740411758422852, -9.417281150817871, -6.418658256530762, -7.445868968963623, -4.327493667602539, -10.26520824432373, -2.0166187286376953, -7.465863227844238, -1.6892004013061523, -8.763160705566406, -4.604113578796387, -4.8082122802734375, -6.438105583190918]	74.32904052734375	91.76769256591797	17.43865203857422
6	Among them is the former cloister from the abbey church of St. Peter and Paul.	is	2			cloister	5	{'Number': 'Sing', 'lemma': 'cloister'}	NOUN	is	2	{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'be'}	VERB	-3	[]	{'newdoc id': 'w02004', 'sent_id': 'w02004008', 'text': 'Among them is the former cloister from the abbey church of St. Peter and Paul.', 'treebank': 'UD_English-PUD/en_pud-ud-test.conllu'}	'm	3 -> 1	Among them	Among them 'm the former cloister from the abbey church of St. Peter and Paul.	[]	[]	0	0	0	False	False	False	0.1071428571428571	SV-P	eng	3	1	VS	verb	+	[-5.6417083740234375, -3.9341535568237305, -6.647685527801514, -3.1312427520751953, -5.981149196624756, -0.7186174392700195, -6.21807861328125, -6.687043190002441, -9.341817855834961, -6.2573370933532715, -0.5796737670898438, -7.657998085021973, -5.881716728210449, -3.216442108154297, -9.88357925415039, -2.833925247192383, -2.2167606353759766, -7.680431842803955, -2.392378807067871, -1.1589345932006836, -3.0777854919433594, -4.388272762298584, -3.9295263290405273, -2.657711982727051, -5.443265914916992]	[-5.6417083740234375, -3.9341535568237305, -8.221843719482422, -6.794496536254883, -8.797722816467285, -6.091091156005859, -0.5249366760253906, -5.833986282348633, -6.239527702331543, -9.31249713897705, -6.04721736907959, -0.6576986312866211, -8.126523971557617, -5.980563163757324, -3.6216812133789062, -10.247038841247559, -3.254627227783203, -3.259572982788086, -7.904246807098389, -2.087672233581543, -1.152815818786621, -3.0735387802124023, -4.683066368103027, -3.4644012451171875, -3.3900012969970703, -5.5318732261657715]	117.55723571777344	133.87451171875	16.317276000976562
7	Right up to a week after my birth he continued to say, 'How is he?'	is	15			he	16	{'Case': 'Nom', 'Gender': 'Masc', 'Number': 'Sing', 'Person': '3', 'PronType': 'Prs', 'lemma': 'he'}	PRON	is	15	{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'be', 'Gender': 'Masc'}	AUX	-1	[]	"{'sent_id': 'en_lines-ud-train-doc8-2912', 'text': ""Right up to a week after my birth he continued to say, 'How is he?'"", 'treebank': 'UD_English-LinES/en_lines-ud-train.conllu'}"	'm	3 -> 1	Right up to a week after my birth he continued to say, 'How	Right up to a week after my birth he continued to say, 'How 'm he?'	[]	[]	0	0	0	False	False	False	0.1071428571428571	SV-P	eng	3	1	VS	verb	+	[-4.319074630737305, -2.3139829635620117, -3.6326522827148438, -5.663121223449707, -4.044502258300781, -3.6741580963134766, -6.8547444343566895, -9.3447265625, -8.49091625213623, -0.28148365020751953, -1.4138317108154297, -5.769872665405273, -13.521744728088379, -8.56300163269043, -12.07187271118164, -4.444935321807861, -1.7944869995117188, -11.288716316223145, -7.538568496704102]	[-4.319074630737305, -2.3139829635620117, -3.6326522827148438, -5.663121223449707, -4.044502258300781, -3.6741580963134766, -6.8547444343566895, -9.3447265625, -8.49091625213623, -0.28148365020751953, -1.4138317108154297, -5.769872665405273, -13.521744728088379, -8.56300163269043, -12.07187271118164, -6.676105976104736, -9.172286987304688, -8.144937515258789, -11.431884765625, -7.585747718811035]	115.02638244628906	132.97064208984375	17.944259643554688
8	There is no easy answer to the painful issue of abortion.	is	1			answer	4	{'Number': 'Sing', 'lemma': 'answer'}	NOUN	is	1	{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'be'}	VERB	-3	[]	{'sent_id': 'en_lines-ud-test-doc5-4814', 'text': 'There is no easy answer to the painful issue of abortion.', 'treebank': 'UD_English-LinES/en_lines-ud-test.conllu'}	'm	3 -> 1	There	There 'm no easy answer to the painful issue of abortion.	[]	[]	0	0	0	False	False	False	0.1071428571428571	SV-P	eng	3	1	VS	verb	+	[-1.9102287292480469, -0.8849220275878906, -5.629645347595215, -5.615866184234619, -2.516094207763672, -2.2649974822998047, -8.410778045654297, -5.218869686126709, -6.797698020935059, -2.1521644592285156, -8.124689102172852, -3.5295352935791016, -0.24223709106445312, -10.922401428222656]	[-8.238286018371582, -6.6093645095825195, -6.894248962402344, -6.301377296447754, -5.388396263122559, -1.8498725891113281, -2.508423328399658, -8.363998413085938, -5.578990936279297, -6.760427951812744, -2.2276229858398438, -8.342601776123047, -3.560248374938965, -0.36443328857421875, -10.710115432739258]	64.22013092041016	83.69841003417969	19.47827911376953
9	how much is a flight from washington to boston	is	2			flight	4	{'Number': 'Sing', 'lemma': 'flight'}	NOUN	is	2	{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'be'}	AUX	-2	[]	{'sent_id': '2930.train', 'text': 'how much is a flight from washington to boston', 'treebank': 'UD_English-Atis/en_atis-ud-train.conllu'}	'm	3 -> 1	how much	how much 'm a flight from washington to boston	[]	[]	0	0	0	False	False	False	0.0107142857142857	SV-P	eng	3	1	VS	verb	+	[-6.367502212524414, -4.166073799133301, -3.1839065551757812, -8.740312576293945, -5.963930606842041, -11.214045524597168, -1.1803522109985352, -8.44067668914795, -1.878678321838379, -6.7870588302612305, -9.856521606445312, -3.55098819732666]	[-6.367502212524414, -11.740410804748535, -9.417280197143555, -6.418658256530762, -7.445867538452148, -4.327495574951172, -10.265207290649414, -2.0166168212890625, -7.465864181518555, -1.6892013549804688, -6.506155967712402, -10.195215225219727, -3.7502737045288086]	71.33004760742188	87.60575103759766	16.27570343017578
